active_time	inactive_time	time_no_dpm	time_dpm	time_run	time_idle	time_sleep	time_waiting	time_transitions	transitions	energy_transitions	energy_no_dpm	energy_dpm	timeout
6.401000	2285.366000	2291.767000		6.412100	0.000000	2284.800901	0.011100	0.555000	222	0.224220	63.252769	0.606826	0
6.401000	2285.366000	2291.767000		6.529800	0.000000	2284.806201	0.128800	0.435000	174	0.175740	63.252769	0.561595	1
6.401000	2285.366000	2291.767000		6.642800	0.000000	2284.748201	0.241800	0.380000	152	0.153520	63.252769	0.542489	2
6.401000	2285.366000	2291.767000		6.747900	0.000000	2284.709101	0.346900	0.310000	124	0.125240	63.252769	0.517106	3
6.401000	2285.366000	2291.767000		6.866800	0.000000	2284.690201	0.465800	0.210000	84	0.084840	63.252769	0.479986	4
6.401000	2285.366000	2291.767000		6.996700	0.000000	2284.675301	0.595700	0.095000	38	0.038380	63.252769	0.437110	5
6.401000	2285.366000	2291.767000		7.015700	0.000000	2284.656301	0.614700	0.095000	38	0.038380	63.252769	0.437632	6
6.401000	2285.366000	2291.767000		7.034700	0.000000	2284.637301	0.633700	0.095000	38	0.038380	63.252769	0.438155	7
6.401000	2285.366000	2291.767000		7.053700	0.000000	2284.618301	0.652700	0.095000	38	0.038380	63.252769	0.438678	8
6.401000	2285.366000	2291.767000		7.072700	0.000000	2284.599301	0.671700	0.095000	38	0.038380	63.252769	0.439200	9
6.401000	2285.366000	2291.767000		7.091700	0.000000	2284.580301	0.690700	0.095000	38	0.038380	63.252769	0.439723	10
