active_time	inactive_time	time_no_dpm	time_dpm	time_run	time_idle	time_sleep	time_waiting	time_transitions	transitions	energy_transitions	energy_no_dpm	energy_dpm	timeout
2.000000	492.750000	494.750000		2.020000	0.000000	491.734400	0.020000	1.000000	400	0.404000	13.655100	0.504008	0
2.000000	492.750000	494.750000		2.206000	0.000000	492.044100	0.206000	0.500000	200	0.202000	13.655100	0.307170	1
2.000000	492.750000	494.750000		2.305900	0.000000	491.944200	0.305900	0.500000	200	0.202000	13.655100	0.309918	2
2.000000	492.750000	494.750000		2.405900	0.000000	491.844200	0.405900	0.500000	200	0.202000	13.655100	0.312669	3
2.000000	492.750000	494.750000		2.502900	0.000000	491.747200	0.502900	0.500000	200	0.202000	13.655100	0.315337	4
2.000000	492.750000	494.750000		2.803000	0.000000	491.697100	0.803000	0.250000	100	0.101000	13.655100	0.222616	5
2.000000	492.750000	494.750000		2.853000	0.000000	491.647100	0.853000	0.250000	100	0.101000	13.655100	0.223991	6
2.000000	492.750000	494.750000		2.903000	0.000000	491.597100	0.903000	0.250000	100	0.101000	13.655100	0.225367	7
2.000000	492.750000	494.750000		2.953000	0.000000	491.547100	0.953000	0.250000	100	0.101000	13.655100	0.226742	8
2.000000	492.750000	494.750000		3.003000	0.000000	491.497100	1.003000	0.250000	100	0.101000	13.655100	0.228118	9
2.000000	492.750000	494.750000		3.053000	0.000000	491.447100	1.053000	0.250000	100	0.101000	13.655100	0.229493	10
