Image,Voltage,Strategy,Off_Coeff,Fac_Coeff,Power_Saving(%),Distortion(%)
Image_0,15.0,none,0.0,0.0,0.0,0.0
Image_0,15.0,brightness,0.1,0.3,0.05,0.0421
Image_0,15.0,brightness,0.1,0.5,0.05,0.0421
Image_0,15.0,brightness,0.1,0.7,0.05,0.0421
Image_0,15.0,brightness,0.2,0.3,0.05,0.0421
Image_0,15.0,brightness,0.2,0.5,0.05,0.0421
Image_0,15.0,brightness,0.2,0.7,0.05,0.0421
Image_0,15.0,brightness,0.3,0.3,0.05,0.0421
Image_0,15.0,brightness,0.3,0.5,0.05,0.0421
Image_0,15.0,brightness,0.3,0.7,0.05,0.0421
Image_0,15.0,contrast,0.1,0.3,0.05,0.0421
Image_0,15.0,contrast,0.1,0.5,0.05,0.0421
Image_0,15.0,contrast,0.1,0.7,0.05,0.0421
Image_0,15.0,contrast,0.2,0.3,0.05,0.0421
Image_0,15.0,contrast,0.2,0.5,0.05,0.0421
Image_0,15.0,contrast,0.2,0.7,0.05,0.0421
Image_0,15.0,contrast,0.3,0.3,0.05,0.0421
Image_0,15.0,contrast,0.3,0.5,0.05,0.0421
Image_0,15.0,contrast,0.3,0.7,0.05,0.0421
Image_0,15.0,both,0.1,0.3,0.05,0.0421
Image_0,15.0,both,0.1,0.5,0.05,0.0421
Image_0,15.0,both,0.1,0.7,0.05,0.0421
Image_0,15.0,both,0.2,0.3,0.05,0.0421
Image_0,15.0,both,0.2,0.5,0.05,0.0421
Image_0,15.0,both,0.2,0.7,0.05,0.0421
Image_0,15.0,both,0.3,0.3,0.05,0.0421
Image_0,15.0,both,0.3,0.5,0.05,0.0421
Image_0,15.0,both,0.3,0.7,0.05,0.0421
Image_0,14.0,none,0.0,0.0,17.12,2.1636
Image_0,14.0,brightness,0.1,0.3,16.7,2.0752
Image_0,14.0,brightness,0.1,0.5,16.7,2.0752
Image_0,14.0,brightness,0.1,0.7,16.7,2.0752
Image_0,14.0,brightness,0.2,0.3,16.02,1.9244
Image_0,14.0,brightness,0.2,0.5,16.02,1.9244
Image_0,14.0,brightness,0.2,0.7,16.02,1.9244
Image_0,14.0,brightness,0.3,0.3,15.29,1.7766
Image_0,14.0,brightness,0.3,0.5,15.29,1.7766
Image_0,14.0,brightness,0.3,0.7,15.29,1.7766
Image_0,14.0,contrast,0.1,0.3,15.91,1.9105
Image_0,14.0,contrast,0.1,0.5,14.93,1.7092
Image_0,14.0,contrast,0.1,0.7,13.98,1.5092
Image_0,14.0,contrast,0.2,0.3,15.91,1.9105
Image_0,14.0,contrast,0.2,0.5,14.93,1.7092
Image_0,14.0,contrast,0.2,0.7,13.98,1.5092
Image_0,14.0,contrast,0.3,0.3,15.91,1.9105
Image_0,14.0,contrast,0.3,0.5,14.93,1.7092
Image_0,14.0,contrast,0.3,0.7,13.98,1.5092
Image_0,14.0,both,0.1,0.3,15.21,1.7649
Image_0,14.0,both,0.1,0.5,14.27,1.5667
Image_0,14.0,both,0.1,0.7,13.32,1.3713
Image_0,14.0,both,0.2,0.3,14.61,1.6331
Image_0,14.0,both,0.2,0.5,13.62,1.4291
Image_0,14.0,both,0.2,0.7,12.67,1.233
