Image,Voltage,Strategy,Power(mW),Power_Saving(%),Distortion(%)
Image_0,15.0,none,1777.24,0.0,0.0
Image_0,15.0,brightness,1776.29,0.05,0.0421
Image_0,15.0,contrast,1776.29,0.05,0.0421
Image_0,15.0,both,1776.29,0.05,0.0421
Image_0,14.0,none,1473.01,17.12,2.1636
Image_0,14.0,brightness,1492.48,16.02,1.9244
Image_0,14.0,contrast,1511.84,14.93,1.7092
Image_0,14.0,both,1535.2,13.62,1.4291
Image_0,13.0,none,1195.32,32.74,4.3832
Image_0,13.0,brightness,1228.37,30.88,3.94
Image_0,13.0,contrast,1259.69,29.12,3.5459
Image_0,13.0,both,1296.15,27.07,3.0644
Image_0,12.0,none,944.17,46.87,6.6719
Image_0,12.0,brightness,984.76,44.59,6.0655
Image_0,12.0,contrast,1018.75,42.68,5.5896
Image_0,12.0,both,1055.16,40.63,5.048
Image_0,11.0,none,719.54,59.51,9.0478
Image_0,11.0,brightness,759.12,57.29,8.3774
Image_0,11.0,contrast,789.9,55.55,7.891
Image_0,11.0,both,817.49,54.0,7.424
Image_0,10.0,none,521.46,70.66,11.5266
Image_0,10.0,brightness,555.39,68.75,10.865
Image_0,10.0,contrast,577.25,67.52,10.4684
Image_0,10.0,both,596.41,66.44,10.0882
Image_0,9.0,none,349.91,80.31,14.1387
Image_0,9.0,brightness,373.83,78.97,13.6007
Image_0,9.0,contrast,386.43,78.26,13.3149
Image_0,9.0,both,397.97,77.61,13.0483
Image_1,15.0,none,1340.1,0.0,0.0
Image_1,15.0,brightness,1338.74,0.1,0.0581
Image_1,15.0,contrast,1338.74,0.1,0.0581
Image_1,15.0,both,1338.74,0.1,0.0581
Image_1,14.0,none,1116.83,16.66,1.8117
Image_1,14.0,brightness,1134.74,15.32,1.5436
Image_1,14.0,contrast,1140.69,14.88,1.4724
Image_1,14.0,both,1161.41,13.33,1.1793
Image_1,13.0,none,912.69,31.89,3.6728
Image_1,13.0,brightness,942.63,29.66,3.2037
Image_1,13.0,contrast,952.85,28.9,3.0482
Image_1,13.0,both,985.41,26.47,2.5356
Image_1,12.0,none,727.68,45.7,5.5875
Image_1,12.0,brightness,764.1,42.98,4.9273
Image_1,12.0,contrast,774.55,42.2,4.774
Image_1,12.0,both,811.49,39.45,4.1247
Image_1,11.0,none,561.81,58.08,7.5757
Image_1,11.0,brightness,597.14,55.44,6.8691
Image_1,11.0,contrast,607.32,54.68,6.6821
Image_1,11.0,both,642.83,52.03,5.9816
Image_1,10.0,none,415.07,69.03,9.643
Image_1,10.0,brightness,445.31,66.77,8.9411
Image_1,10.0,contrast,453.49,66.16,8.7779
Image_1,10.0,both,482.9,63.97,8.1109
Image_1,9.0,none,287.47,78.55,11.8048
Image_1,9.0,brightness,308.75,76.96,11.2487
Image_1,9.0,contrast,314.32,76.55,11.0986
Image_1,9.0,both,334.75,75.02,10.5666
Image_2,15.0,none,1324.15,0.0,0.0
Image_2,15.0,brightness,1322.57,0.12,0.0656
Image_2,15.0,contrast,1322.57,0.12,0.0656
Image_2,15.0,both,1322.57,0.12,0.0656
Image_2,14.0,none,1103.83,16.64,1.8834
Image_2,14.0,brightness,1121.66,15.29,1.6147
Image_2,14.0,contrast,1130.45,14.63,1.4887
Image_2,14.0,both,1151.3,13.05,1.1856
Image_2,13.0,none,902.38,31.85,3.8149
Image_2,13.0,brightness,932.02,29.61,3.3313
Image_2,13.0,contrast,947.53,28.44,3.0868
Image_2,13.0,both,980.37,25.96,2.5578
Image_2,12.0,none,719.79,45.64,5.8075
Image_2,12.0,brightness,755.99,42.91,5.1325
Image_2,12.0,contrast,772.63,41.65,4.8605
Image_2,12.0,both,808.77,38.92,4.2073
Image_2,11.0,none,556.06,58.01,7.8746
Image_2,11.0,brightness,591.4,55.34,7.1374
Image_2,11.0,contrast,606.97,54.16,6.8394
Image_2,11.0,both,640.26,51.65,6.1648
Image_2,10.0,none,411.19,68.95,10.0339
Image_2,10.0,brightness,441.46,66.66,9.3032
Image_2,10.0,contrast,453.53,65.75,9.0432
Image_2,10.0,both,480.2,63.73,8.414
Image_2,9.0,none,285.19,78.46,12.3273
Image_2,9.0,brightness,306.55,76.85,11.7192
Image_2,9.0,contrast,314.28,76.27,11.5086
Image_2,9.0,both,332.5,74.89,10.9977
Image_3,15.0,none,1503.56,0.0,0.0
Image_3,15.0,brightness,1502.55,0.07,0.0444
Image_3,15.0,contrast,1502.55,0.07,0.0444
Image_3,15.0,both,1502.55,0.07,0.0444
Image_3,14.0,none,1250.02,16.86,1.9449
Image_3,14.0,brightness,1269.37,15.58,1.6772
Image_3,14.0,contrast,1281.45,14.77,1.5377
Image_3,14.0,both,1303.64,13.3,1.2427
Image_3,13.0,none,1018.38,32.27,3.9407
Image_3,13.0,brightness,1050.34,30.14,3.4631
Image_3,13.0,contrast,1070.75,28.79,3.1966
Image_3,13.0,both,1106.18,26.43,2.6699
Image_3,12.0,none,808.64,46.22,6.0011
Image_3,12.0,brightness,848.11,43.59,5.3314
Image_3,12.0,contrast,869.79,42.15,5.0299
Image_3,12.0,both,910.15,39.47,4.361
Image_3,11.0,none,620.79,58.71,8.1378
Image_3,11.0,brightness,659.0,56.17,7.4089
Image_3,11.0,contrast,680.39,54.75,7.0615
Image_3,11.0,both,717.58,52.27,6.3712
Image_3,10.0,none,454.85,69.75,10.3738
Image_3,10.0,brightness,487.5,67.58,9.6544
